ScreenTime,SleepHours,LateNightUsage,ActivityLevel,DietQuality,SittingTime,InactivityPeriods,StressLevel,Gender,MealsPerDay,CalorieIntake,BMI,Fatigue,dopamine_score,lifestyle_risk,health_score,bmi_category,FutureHealthRisk,DiabetesRisk,AnemiaRisk,PCOSRisk
3,4.7,1,2,1,9,4,1,0,1,401,24.88888888888889,High,2.0,4.3,2.78,1,Medium,Low,Medium,Medium
8,5.0,1,0,1,10,3,2,1,1,1493,25.21735857578381,High,4.5,4.7,2.3,2,High,High,High,High
1,4.8,0,2,0,5,1,1,1,1,835,22.22222222222222,Medium,0.5,2.2,2.52,1,Medium,Low,High,Medium
3,4.5,1,0,0,2,2,1,0,1,1412,16.41206918318394,High,2.0,1.6,1.8,0,Medium,Medium,High,Medium
1,4.8,1,0,1,8,0,0,0,1,1645,16.423303174176592,High,1.0,2.4,2.22,0,Medium,Medium,Medium,Medium
5,5.5,0,1,2,4,4,1,1,5,2764,29.40778799351001,Low,2.5,2.8,3.1,2,Medium,Medium,Low,Medium
5,4.2,1,0,2,9,4,2,0,4,3368,29.6875,High,3.0,4.699999999999999,2.28,2,High,High,Medium,High
2,6.3,0,0,1,11,4,0,1,1,184,24.034407151290267,Medium,1.0,4.5,2.82,1,Medium,Medium,Medium,Medium
6,6.6,0,1,1,11,1,0,0,3,2063,15.81869834710744,Medium,3.0,3.6,3.24,0,Medium,Medium,Medium,Low
3,4.9,0,1,2,4,1,2,1,1,146,16.653061224489797,High,1.5,2.3,2.8600000000000003,0,Medium,Low,Medium,Medium
7,6.1,0,1,0,3,2,1,1,3,2210,38.22222222222222,Medium,3.5,1.9,2.74,3,High,High,High,Medium
7,4.7,0,1,1,5,3,2,0,2,942,23.03875236294896,High,3.5,3.2,2.48,1,Medium,Medium,High,High
2,4.5,0,0,0,2,2,2,0,4,2987,18.93700290367378,High,1.0,2.0,1.8,1,High,High,High,High
4,4.8,1,2,1,6,1,0,1,4,3065,17.99307958477509,Medium,2.5,2.1,2.82,0,Low,Low,Medium,Low
7,5.3,0,2,1,7,4,2,0,3,2329,22.985397512168745,High,3.5,4.1,3.02,1,Medium,Medium,Medium,Medium
3,7.2,0,0,1,9,0,1,0,2,1065,13.882325141776937,Medium,1.5,3.1,3.18,0,Medium,Medium,Medium,Medium
8,6.3,1,2,0,5,1,0,0,5,3317,29.55254942767949,Medium,4.5,1.8,3.12,2,Medium,Medium,Medium,Low
5,6.3,1,2,1,2,3,2,1,4,3193,16.975308641975307,Medium,3.0,2.3,3.42,0,Medium,Medium,Medium,Medium
3,7.0,0,2,1,3,3,0,1,5,3367,32.40615716986227,Low,1.5,1.7999999999999998,3.7,3,Low,Medium,Low,Low
7,7.5,1,0,0,2,0,2,0,4,3100,18.902038132807363,High,4.0,1.4,3.0,1,High,High,Medium,Medium
6,5.5,1,2,0,6,4,2,0,3,2404,26.7538644470868,High,3.5,3.8,2.8000000000000003,2,Medium,Medium,High,Medium
8,5.7,0,2,2,10,1,0,0,4,3067,23.503556057507403,Medium,4.0,3.3,3.4800000000000004,1,Low,Medium,Low,Low
5,7.8,0,0,1,9,3,1,1,3,2390,14.3330645883723,Medium,2.5,4.0,3.42,0,Medium,Medium,Medium,Medium
8,7.5,0,1,2,2,1,0,1,1,1137,32.03987184051263,Medium,4.0,0.8999999999999999,3.9,3,Medium,Medium,Low,Medium
3,6.4,1,0,0,6,3,0,0,1,1786,18.902038132807363,Medium,2.0,2.7,2.5600000000000005,1,Medium,Medium,Medium,Medium
4,6.5,0,0,2,6,2,2,0,5,3119,25.236340330075304,Medium,2.0,3.2,3.2,2,Medium,High,Low,High
1,7.7,0,1,1,2,3,2,0,2,1551,31.644317867172973,Medium,0.5,2.3,3.68,3,Medium,Medium,Medium,Medium
3,4.6,1,1,2,10,3,1,0,3,1987,17.020514198692105,Medium,2.0,4.3,2.74,0,Medium,Medium,Medium,Medium
2,4.3,0,1,1,11,1,2,0,2,1027,26.92743764172336,Medium,1.0,4.4,2.32,2,Medium,Medium,High,High
2,5.6,1,0,0,11,3,0,0,5,2942,23.384353741496604,High,1.5,4.199999999999999,2.24,1,Medium,Medium,Medium,Medium
